saddr,len,payloadlen,flags,validation_type
23.205.7.10,44,0,18,1
23.21.215.27,44,0,18,1
96.7.201.140,44,0,18,1
77.134.3.183,44,0,18,1
176.58.97.127,44,0,18,1
107.154.137.176,44,0,18,1
47.34.117.113,44,0,18,1
94.124.122.134,44,0,18,1
144.202.61.46,44,0,18,1
3.140.17.56,44,0,18,1
23.219.220.244,44,0,18,1
104.20.175.4,44,0,18,1
45.77.189.51,44,0,18,1
107.165.206.216,44,0,18,1
212.108.134.166,44,0,18,1
78.84.95.74,44,0,18,1
163.191.207.123,44,0,18,1
142.93.147.117,44,0,18,1
3.141.151.8,44,0,18,1
3.221.70.60,44,0,18,1
93.42.138.54,44,0,18,1
62.138.24.241,44,0,18,1
104.18.69.132,44,0,18,1
52.49.169.165,44,0,18,1
2.126.142.14,44,0,18,1
38.97.152.160,44,0,18,1
133.42.39.190,44,0,18,1
166.144.173.4,44,0,18,1
170.81.32.246,44,0,18,1
1.226.105.242,44,0,18,1
52.217.32.53,44,0,18,1
15.161.163.230,44,0,18,1
44.240.86.153,44,0,18,1
54.193.92.164,44,0,18,1
95.100.7.9,44,0,18,1
88.198.113.41,44,0,18,1
23.218.15.123,44,0,18,1
50.3.7.125,44,0,18,1
104.25.38.187,44,0,18,1
83.172.181.15,44,0,18,1
23.35.10.185,44,0,18,1
104.107.187.119,44,0,18,1
213.139.208.40,44,0,18,1
43.135.49.134,44,0,18,1
220.191.224.215,44,0,18,1
94.142.178.249,44,0,18,1
52.77.170.19,44,0,18,1
45.143.143.219,44,0,18,1
108.17.82.184,44,0,18,1
160.16.125.203,44,0,18,1
217.71.202.97,44,0,18,1
195.140.244.116,44,0,18,1
208.112.194.85,44,0,18,1
20.121.255.144,44,0,18,1
8.251.204.217,44,0,18,1
23.77.210.156,44,0,18,1
45.207.235.169,44,0,18,1
52.78.164.255,44,0,18,1
52.208.191.150,44,0,18,1
34.208.103.162,44,0,18,1
71.19.158.61,44,0,18,1
41.205.53.80,44,0,18,1
52.182.230.188,44,0,18,1
104.106.229.132,44,0,18,1
50.2.148.249,44,0,18,1
149.30.190.93,44,0,18,1
104.68.49.25,44,0,18,1
109.250.37.137,44,0,18,1
95.217.233.30,44,0,18,1
39.105.83.20,44,0,18,1
2.17.197.96,44,0,18,1
34.120.146.6,44,0,18,1
3.134.136.134,44,0,18,1
185.141.188.181,44,0,18,1
45.115.180.152,44,0,18,1
99.84.216.83,44,0,18,1
77.73.68.237,44,0,18,1
49.4.16.105,44,0,18,1
103.228.112.254,44,0,18,1
3.64.43.178,44,0,18,1
142.93.152.219,44,0,18,1
52.6.45.63,44,0,18,1
69.51.74.167,44,0,18,1
166.88.231.54,44,0,18,1
3.81.208.54,44,0,18,1
108.138.28.91,44,0,18,1
192.126.149.190,44,0,18,1
38.26.247.43,44,0,18,1
52.78.14.5,44,0,18,1
18.188.121.114,44,0,18,1
35.241.93.62,44,0,18,1
54.81.210.191,44,0,18,1
193.190.99.87,44,0,18,1
52.18.110.160,44,0,18,1
201.208.121.106,44,0,18,1
44.237.181.249,44,0,18,1
130.176.159.67,44,0,18,1
195.68.129.174,44,0,18,1
98.54.168.40,44,0,18,1
104.118.243.109,44,0,18,1
124.146.219.54,44,0,18,1
31.191.216.42,44,0,18,1
79.174.15.101,44,0,18,1
193.239.57.188,44,0,18,1
138.197.15.154,44,0,18,1
176.74.154.43,44,0,18,1
190.134.59.131,44,0,18,1
42.192.134.228,44,0,18,1
85.153.99.98,44,0,18,1
59.0.105.168,44,0,18,1
3.208.108.22,44,0,18,1
54.254.214.11,44,0,18,1
195.42.123.76,44,0,18,1
42.81.15.93,44,0,18,1
43.242.72.49,44,0,18,1
50.57.81.238,44,0,18,1
186.89.147.86,44,0,18,1
123.56.217.75,44,0,18,1
23.76.163.172,44,0,18,1
148.101.194.93,44,0,18,1
184.28.231.60,44,0,18,1
206.41.90.133,44,0,18,1
218.12.76.42,44,0,18,1
59.110.171.43,44,0,18,1
203.24.109.82,44,0,18,1
172.96.181.0,44,0,18,1
23.214.60.238,44,0,18,1
23.56.148.31,44,0,18,1
52.63.186.69,44,0,18,1
49.12.115.70,44,0,18,1
23.35.84.51,44,0,18,1
18.155.243.73,44,0,18,1
174.176.132.41,44,0,18,1
89.188.74.135,44,0,18,1
185.62.151.201,44,0,18,1
168.188.107.63,44,0,18,1
185.111.170.79,44,0,18,1
82.135.247.64,44,0,18,1
54.77.125.159,44,0,18,1
34.102.248.201,44,0,18,1
63.33.1.61,44,0,18,1
104.21.57.134,44,0,18,1
103.212.182.200,44,0,18,1
34.234.230.207,44,0,18,1
104.117.77.235,44,0,18,1
104.73.11.53,44,0,18,1
159.223.69.248,44,0,18,1
3.223.75.23,44,0,18,1
52.216.8.19,44,0,18,1
104.122.96.50,44,0,18,1
38.96.188.227,44,0,18,1
146.75.60.91,44,0,18,1
89.46.100.186,44,0,18,1
23.195.8.138,44,0,18,1
100.25.171.147,44,0,18,1
85.105.5.101,44,0,18,1
103.130.172.22,44,0,18,1
23.8.24.10,44,0,18,1
66.59.68.215,44,0,18,1
216.128.98.164,44,0,18,1
191.252.145.124,44,0,18,1
35.165.252.156,44,0,18,1
120.76.188.91,44,0,18,1
54.207.76.124,44,0,18,1
107.148.239.111,44,0,18,1
34.111.43.210,44,0,18,1
111.90.139.240,44,0,18,1
218.12.76.42,44,0,18,1
184.50.173.23,44,0,18,1
212.23.81.219,44,0,18,1
52.44.124.186,44,0,18,1
151.101.125.246,44,0,18,1
136.144.211.146,44,0,18,1
221.158.12.101,44,0,18,1
113.171.245.124,44,0,18,1
154.16.245.109,44,0,18,1
168.188.18.124,44,0,18,1
197.15.207.72,44,0,18,1
146.56.170.91,44,0,18,1
106.1.129.40,44,0,18,1
120.27.61.71,44,0,18,1
24.231.178.234,44,0,18,1
89.27.242.28,44,0,18,1
35.206.125.88,44,0,18,1
23.217.56.226,44,0,18,1
52.218.248.8,44,0,18,1
3.95.58.116,44,0,18,1
211.161.62.176,52,0,16,1
211.161.62.176,718,666,24,1
153.127.200.55,44,0,18,1
3.144.253.200,44,0,18,1
170.130.81.81,44,0,18,1
154.203.243.66,44,0,18,1
3.249.153.36,44,0,18,1
198.20.151.26,44,0,18,1
52.62.64.208,44,0,18,1
5.196.7.176,44,0,18,1
188.59.201.148,44,0,18,1
18.194.91.218,44,0,18,1
50.3.17.158,44,0,18,1
3.144.41.184,44,0,18,1
64.112.218.10,44,0,18,1
201.46.30.25,72,32,20,0
5.100.249.75,44,0,18,1
92.157.221.239,44,0,18,1
44.5.7.218,44,0,18,1
81.70.134.39,44,0,18,1
209.61.242.147,44,0,18,1
102.38.57.82,44,0,18,1
38.54.50.253,44,0,18,1
104.68.80.214,44,0,18,1
34.111.1.76,44,0,18,1
169.239.97.6,44,0,18,1
147.46.142.79,44,0,18,1
23.61.255.168,44,0,18,1
47.104.230.225,44,0,18,1
154.64.98.6,44,0,18,1
178.214.69.198,44,0,18,1
122.14.45.1,44,0,18,1
86.17.180.234,44,0,18,1
154.207.36.236,44,0,18,1
