saddr,len,payloadlen,flags,validation_type
34.160.70.227,44,0,18,1
104.72.120.30,44,0,18,1
23.221.227.53,44,0,18,1
23.78.173.213,44,0,18,1
15.73.4.76,44,0,18,1
50.227.42.98,44,0,18,0
35.160.145.106,44,0,18,1
31.214.247.69,44,0,18,1
107.163.223.214,44,0,18,1
96.16.172.98,44,0,18,1
51.91.142.244,44,0,18,1
34.142.50.222,44,0,18,1
54.84.119.177,44,0,18,1
193.46.204.239,44,0,18,1
52.192.210.150,44,0,18,1
23.65.98.48,44,0,18,1
194.59.214.25,44,0,18,1
183.177.58.107,44,0,18,1
103.228.117.161,44,0,18,1
178.128.98.152,44,0,18,1
23.66.117.168,44,0,18,1
188.114.82.196,44,0,18,1
3.230.191.239,44,0,18,1
130.176.221.166,44,0,18,1
143.204.68.169,44,0,18,1
155.97.9.211,44,0,18,1
20.151.41.79,44,0,18,1
54.165.242.180,44,0,18,1
163.19.76.117,44,0,18,1
137.135.121.132,44,0,18,1
186.237.71.17,44,0,18,1
194.186.72.205,44,0,18,1
20.225.119.184,44,0,18,1
104.154.107.34,44,0,18,1
92.123.157.254,44,0,18,1
45.204.5.236,44,0,18,1
1.116.131.19,44,0,18,1
35.162.57.192,44,0,18,1
41.225.61.170,44,0,18,1
109.227.2.156,44,0,18,1
23.10.133.228,44,0,18,1
185.2.171.10,44,0,18,1
201.108.156.126,44,0,18,1
182.201.245.142,44,0,18,1
196.51.136.150,44,0,18,1
195.201.30.148,44,0,18,1
202.81.232.221,44,0,18,1
79.133.14.9,44,0,18,1
15.160.107.195,44,0,18,1
155.159.89.209,44,0,18,1
77.55.145.150,44,0,18,1
175.233.47.2,44,0,18,1
31.42.140.96,44,0,18,1
69.135.48.61,44,0,18,1
18.154.26.151,44,0,18,1
182.201.245.142,44,0,18,1
45.38.62.153,44,0,18,1
112.74.161.34,44,0,18,1
67.228.227.250,44,0,18,1
45.137.193.22,44,0,18,1
121.37.2.63,44,0,18,1
114.34.12.214,44,0,18,1
86.29.79.130,44,0,18,1
43.140.195.61,44,0,18,1
5.154.188.161,44,0,18,1
89.108.88.214,44,0,18,1
43.134.208.103,44,0,18,1
115.29.110.241,44,0,18,1
107.149.67.201,44,0,18,1
31.208.112.200,44,0,18,1
118.155.207.14,44,0,18,1
104.99.224.49,44,0,18,1
87.128.110.236,44,0,18,1
103.47.80.77,220,180,2,1
3.24.121.157,44,0,18,1
36.94.47.194,44,0,18,1
85.31.184.70,44,0,18,1
195.167.160.29,44,0,18,1
162.247.45.65,44,0,18,1
147.78.194.8,44,0,18,1
23.33.133.224,44,0,18,1
95.101.157.233,44,0,18,1
104.252.42.81,44,0,18,1
60.205.215.78,44,0,18,1
103.117.66.130,44,0,18,1
123.22.125.229,44,0,18,1
192.155.88.99,44,0,18,1
223.223.182.210,44,0,18,1
3.72.54.140,44,0,18,1
207.38.75.64,44,0,18,1
187.224.119.86,44,0,18,1
103.241.85.12,44,0,18,1
52.26.24.133,44,0,18,1
69.16.196.201,44,0,18,1
192.121.157.182,44,0,18,1
140.248.157.224,44,0,18,1
142.252.8.76,44,0,18,1
154.92.44.248,44,0,18,1
193.248.193.82,44,0,18,1
54.174.11.223,44,0,18,1
162.214.91.197,44,0,18,1
93.124.105.86,44,0,18,1
20.56.157.223,44,0,18,1
168.119.60.5,44,0,18,1
5.251.199.187,44,0,18,1
202.43.63.180,44,0,18,1
108.189.32.125,44,0,18,1
52.77.219.104,44,0,18,1
18.215.56.74,44,0,18,1
23.7.228.194,44,0,18,1
108.171.39.144,44,0,18,1
107.149.14.144,44,0,18,1
162.243.163.132,44,0,18,1
140.248.135.68,44,0,18,1
155.94.254.121,44,0,18,1
137.59.109.38,44,0,18,1
193.247.43.61,44,0,18,1
91.108.151.137,44,0,18,1
23.57.203.29,44,0,18,1
34.238.71.211,44,0,18,1
184.26.132.60,44,0,18,1
165.22.14.161,44,0,18,1
173.223.51.208,44,0,18,1
106.104.162.55,44,0,18,0
92.123.157.254,44,0,18,1
185.217.197.211,44,0,18,1
154.37.251.10,44,0,18,1
84.138.84.146,44,0,18,1
220.112.247.229,52,0,16,1
220.112.247.229,718,666,24,1
217.145.92.46,44,0,18,1
52.150.36.214,44,0,18,1
102.67.136.166,44,0,18,1
113.60.155.81,84,44,20,0
23.222.9.88,44,0,18,1
152.157.12.152,44,0,18,1
209.153.110.21,44,0,18,1
23.65.158.56,44,0,18,1
212.110.70.74,44,0,18,1
120.27.13.148,44,0,18,1
102.133.220.65,44,0,18,1
165.231.36.19,44,0,18,1
13.89.139.138,44,0,18,1
23.197.167.142,44,0,18,1
220.123.86.167,44,0,18,1
50.3.142.230,44,0,18,1
195.240.168.17,44,0,18,1
18.192.16.3,44,0,18,1
3.114.124.207,44,0,18,1
46.33.135.169,44,0,18,1
162.93.52.121,82,42,20,0
104.90.15.243,44,0,18,1
67.205.176.242,44,0,18,1
216.238.77.16,44,0,18,1
170.130.52.212,44,0,18,1
96.7.5.171,44,0,18,1
104.148.65.227,44,0,18,1
35.166.237.229,44,0,18,1
23.204.250.53,44,0,18,1
44.214.112.189,44,0,18,1
192.142.201.27,44,0,18,1
23.56.192.15,44,0,18,1
51.124.39.2,44,0,18,1
178.40.88.226,44,0,18,1
172.65.183.136,44,0,18,1
204.48.28.146,44,0,18,1
64.29.145.36,44,0,18,1
201.214.32.68,44,0,18,1
200.73.112.151,44,0,18,1
54.73.223.83,44,0,18,1
39.49.190.246,44,0,18,1
13.250.86.231,44,0,18,1
104.82.242.127,44,0,18,1
74.209.42.119,44,0,18,1
213.176.83.131,44,0,18,1
23.10.154.69,44,0,18,1
50.114.34.10,44,0,18,1
59.124.204.127,44,0,18,1
90.194.116.146,44,0,18,1
34.76.27.94,44,0,18,1
193.124.254.209,44,0,18,1
3.88.7.134,44,0,18,1
23.41.53.176,44,0,18,1
14.43.198.72,44,0,18,1
82.176.83.111,48,0,18,1
20.93.24.82,44,0,18,1
184.25.80.36,44,0,18,1
77.221.201.126,44,0,18,1
116.223.213.112,44,0,18,1
162.243.99.166,44,0,18,1
23.3.139.51,44,0,18,1
47.107.91.196,44,0,18,1
137.125.245.89,1278,1238,24,1
52.215.4.226,44,0,18,1
104.227.186.246,44,0,18,1
113.219.143.24,44,0,18,1
104.99.79.115,44,0,18,1
156.240.51.232,44,0,18,1
107.164.240.235,44,0,18,1
193.226.76.121,44,0,18,1
192.249.127.235,44,0,18,1
69.172.74.207,44,0,18,1
52.49.200.60,44,0,18,1
45.207.228.153,44,0,18,1
101.201.51.56,44,0,18,1
58.136.224.105,44,0,18,1
59.124.74.203,44,0,18,1
2.58.113.131,44,0,18,1
5.63.159.2,44,0,18,1
50.3.244.165,44,0,18,1
104.99.129.141,44,0,18,1
88.193.169.55,44,0,18,1
104.104.41.169,44,0,18,1
176.241.58.73,44,0,18,1
34.89.33.75,44,0,18,1
45.147.179.179,44,0,18,1
101.254.112.135,44,0,18,1
200.54.27.189,44,0,18,1
23.3.193.30,44,0,18,1
45.128.62.152,44,0,18,1
188.54.74.148,44,0,18,1
80.98.115.137,44,0,18,1
54.171.20.0,44,0,18,1
2.59.126.31,44,0,18,1
77.11.202.194,44,0,18,1
212.82.34.203,44,0,18,1
23.7.228.194,44,0,18,1
34.95.50.196,44,0,18,1
44.233.174.75,44,0,18,1
173.222.249.148,44,0,18,1
194.59.220.168,44,0,18,1
157.245.120.51,44,0,18,1
23.37.16.70,44,0,18,1
117.18.9.42,44,0,18,1
168.80.169.1,44,0,18,1
27.48.100.169,44,0,18,1
23.231.140.216,44,0,18,1
210.122.9.41,44,0,18,1
193.107.20.196,44,0,18,1
95.134.119.179,44,0,18,1
114.35.131.159,44,0,18,1
46.232.45.232,44,0,18,1
149.28.96.195,44,0,18,1
115.165.229.10,44,0,18,1
52.66.4.203,44,0,18,1
175.183.44.89,44,0,18,1
138.2.90.219,44,0,18,1
154.64.24.159,44,0,18,1
23.207.153.174,44,0,18,1
23.104.66.125,44,0,18,1
45.81.91.159,44,0,18,1
162.159.62.113,44,0,18,1
18.66.108.65,44,0,18,1
15.206.36.106,44,0,18,1
49.232.239.94,44,0,18,1
23.197.233.192,44,0,18,1
82.165.21.242,44,0,18,1
35.190.83.0,44,0,18,1
89.46.75.208,44,0,18,1
203.250.207.56,44,0,18,1
14.225.204.211,44,0,18,1
5.178.2.68,44,0,18,1
91.49.94.58,44,0,18,1
201.209.71.3,44,0,18,1
147.235.168.7,44,0,18,1
185.102.174.100,44,0,18,1
85.122.22.3,44,0,18,1
154.213.235.203,44,0,18,1
18.166.24.79,44,0,18,1
23.78.80.147,44,0,18,1
43.143.11.101,44,0,18,1
212.145.226.114,44,0,18,1
23.43.25.224,44,0,18,1
68.66.218.189,44,0,18,1
23.35.254.243,44,0,18,1
195.123.246.91,44,0,18,1
100.25.244.110,44,0,18,1
190.166.114.84,44,0,18,1
185.96.148.175,44,0,18,1
178.213.24.193,44,0,18,1
80.124.121.87,44,0,18,1
188.124.52.148,44,0,18,1
79.73.47.129,44,0,18,1
172.65.202.159,44,0,18,1
62.28.55.28,48,0,18,1
193.31.30.146,44,0,18,1
186.6.224.240,44,0,18,1
159.138.159.11,44,0,18,1
66.113.244.36,44,0,18,1
47.115.146.119,44,0,18,1
23.54.173.111,44,0,18,1
3.135.16.43,44,0,18,1
81.100.142.178,44,0,18,1
78.47.9.185,44,0,18,1
163.5.211.80,44,0,18,1
50.45.57.65,44,0,18,1
13.32.141.16,44,0,18,1
156.240.204.215,44,0,18,1
95.100.230.106,44,0,18,1
79.137.194.148,44,0,18,1
75.2.3.88,44,0,18,1
18.136.152.168,44,0,18,1
121.136.93.72,44,0,18,1
38.242.204.203,44,0,18,1
43.243.72.167,44,0,18,1
103.233.219.223,44,0,18,1
2.180.13.95,44,0,18,1
104.104.115.55,44,0,18,1
54.66.76.56,44,0,18,1
108.139.122.26,44,0,18,1
51.77.34.75,44,0,18,1
189.181.8.155,44,0,18,1
31.19.184.131,44,0,18,1
91.223.180.191,44,0,18,1
52.14.192.172,44,0,18,1
162.159.244.42,44,0,18,1
176.57.189.126,44,0,18,1
52.6.82.3,44,0,18,1
121.173.115.119,44,0,18,1
99.86.18.100,44,0,18,1
23.43.142.16,44,0,18,1
137.74.237.0,44,0,18,1
3.37.191.139,44,0,18,1
35.174.162.222,44,0,18,1
39.108.238.43,44,0,18,1
45.196.207.14,44,0,18,1
34.102.150.92,44,0,18,1
104.82.200.117,44,0,18,1
209.204.155.208,44,0,18,1
209.237.161.81,44,0,18,1
23.205.75.41,44,0,18,1
155.100.209.196,44,0,18,1
107.187.254.178,44,0,18,1
39.100.197.80,44,0,18,1
82.27.103.19,44,0,18,1
138.197.108.236,44,0,18,1
23.210.240.219,44,0,18,1
50.216.174.1,44,0,18,1
23.46.191.43,44,0,18,1
121.5.164.208,44,0,18,1
95.100.1.133,44,0,18,1
23.94.47.81,44,0,18,1
52.6.163.37,44,0,18,1
50.20.206.214,44,0,18,1
216.104.190.138,44,0,18,1
95.57.74.116,44,0,18,1
103.241.78.36,44,0,18,1
23.44.54.78,44,0,18,1
163.53.86.181,44,0,18,1
220.231.133.48,52,0,16,1
220.231.133.48,718,666,24,1
109.226.62.154,44,0,18,1
107.155.71.7,44,0,18,1
89.207.218.43,44,0,18,1
194.226.69.200,44,0,18,1
23.63.206.96,44,0,18,1
91.109.174.78,44,0,18,1
70.37.203.248,44,0,18,1
3.14.197.198,44,0,18,1
156.241.148.206,44,0,18,1
77.83.245.84,44,0,18,1
104.72.141.36,44,0,18,1
197.47.2.72,44,0,18,1
34.120.203.157,44,0,18,1
78.46.30.220,44,0,18,1
103.55.89.130,44,0,18,1
200.94.56.46,44,0,18,1
