saddr,len,payloadlen,flags,validation_type
172.67.196.29,44,0,18,1
47.254.43.31,44,0,18,1
18.244.127.200,44,0,18,1
200.110.49.186,44,0,18,1
86.127.62.148,44,0,18,1
202.158.70.91,44,0,18,1
158.140.149.70,44,0,18,1
3.214.205.61,44,0,18,1
88.132.186.49,44,0,18,1
207.199.220.17,44,0,18,1
66.187.138.54,44,0,18,1
23.42.205.214,44,0,18,1
164.92.213.77,44,0,18,1
94.26.6.163,44,0,18,1
52.55.97.58,44,0,18,1
132.255.67.51,44,0,18,1
220.68.229.16,84,44,24,1
23.40.217.191,44,0,18,1
100.25.119.74,44,0,18,1
194.190.252.21,44,0,18,1
114.34.13.88,44,0,18,1
192.177.30.40,44,0,18,1
52.1.160.196,44,0,18,1
104.82.33.137,44,0,18,1
23.221.128.95,44,0,18,1
45.134.225.66,44,0,18,1
104.227.45.84,44,0,18,1
18.67.139.106,44,0,18,1
23.51.216.187,44,0,18,1
176.133.106.184,44,0,18,1
23.60.66.96,44,0,18,1
52.193.74.172,44,0,18,1
52.44.26.112,44,0,18,1
34.76.218.218,44,0,18,1
67.164.59.236,44,0,18,1
184.105.33.53,44,0,18,1
34.111.30.92,44,0,18,1
198.36.29.187,44,0,18,1
47.101.29.93,44,0,18,1
104.93.174.232,44,0,18,1
3.12.147.53,44,0,18,1
190.73.69.57,44,0,18,1
35.190.54.246,44,0,18,1
20.190.113.53,44,0,18,1
150.158.214.251,44,0,18,1
24.131.92.187,44,0,18,1
52.221.179.241,44,0,18,1
188.228.193.65,44,0,18,1
207.204.33.150,44,0,18,1
54.168.230.220,44,0,18,1
185.222.65.184,44,0,18,1
104.83.126.22,44,0,18,1
198.48.57.168,44,0,18,1
189.250.18.75,44,0,18,1
160.8.38.114,44,0,18,1
38.85.239.204,44,0,18,1
201.209.139.10,44,0,18,1
23.57.7.37,44,0,18,1
77.48.18.76,44,0,18,1
96.7.8.98,44,0,18,1
52.67.147.132,44,0,18,1
184.24.40.183,44,0,18,1
73.236.8.204,44,0,18,1
23.198.202.141,44,0,18,1
76.117.240.5,44,0,18,1
172.65.243.48,44,0,18,1
104.19.169.42,44,0,18,1
156.234.166.176,44,0,18,1
116.107.176.54,44,0,18,1
3.34.197.115,44,0,18,1
185.181.136.252,44,0,18,1
81.163.245.22,242,202,24,1
68.207.181.78,44,0,18,1
14.63.169.139,44,0,18,1
111.68.123.44,44,0,18,1
18.66.129.85,44,0,18,1
115.127.122.113,44,0,18,1
46.253.218.65,44,0,18,1
114.35.61.88,44,0,18,1
185.229.200.206,44,0,18,1
45.131.231.200,44,0,18,1
223.196.155.20,44,0,18,1
108.138.63.61,44,0,18,1
31.134.173.236,244,204,24,1
173.232.29.168,44,0,18,1
154.64.97.78,44,0,18,1
83.222.176.39,44,0,18,1
118.214.77.31,44,0,18,1
8.240.54.249,44,0,18,1
178.174.166.187,44,0,18,1
121.37.25.32,44,0,18,1
154.53.52.245,44,0,18,1
156.234.203.129,44,0,18,1
86.123.54.248,44,0,18,1
113.23.215.59,44,0,18,1
164.132.239.78,44,0,18,1
18.133.152.244,44,0,18,1
110.164.35.78,44,0,18,1
52.34.247.181,44,0,18,1
3.21.148.220,44,0,18,1
142.92.29.186,44,0,18,1
114.35.64.114,44,0,18,1
88.99.1.84,44,0,18,1
1.34.225.82,44,0,18,1
23.201.169.79,44,0,18,1
104.86.83.95,44,0,18,1
2.18.197.134,44,0,18,1
52.209.237.33,44,0,18,1
65.9.86.90,44,0,18,1
23.105.76.60,44,0,18,1
91.211.116.137,44,0,18,1
78.175.244.98,44,0,18,1
186.57.250.44,44,0,18,1
23.201.74.93,44,0,18,1
34.149.158.223,44,0,18,1
185.111.76.58,44,0,18,1
38.177.42.74,44,0,18,1
