saddr,len,payloadlen,flags,validation_type
128.245.148.46,44,0,18,1
142.4.212.84,44,0,18,1
184.30.240.232,44,0,18,1
216.116.20.153,44,0,18,1
64.57.64.127,44,0,18,1
76.191.18.30,44,0,18,1
20.185.17.232,44,0,18,1
24.162.132.107,44,0,18,1
92.8.112.132,44,0,18,1
209.197.77.229,44,0,18,1
185.72.49.100,44,0,18,1
8.253.154.247,44,0,18,1
76.86.254.123,44,0,18,1
93.95.221.101,44,0,18,1
188.128.217.130,44,0,18,1
52.216.165.163,44,0,18,1
162.240.53.13,44,0,18,1
3.83.179.60,44,0,18,1
5.188.121.146,44,0,18,1
154.17.11.85,44,0,18,1
151.236.62.30,44,0,18,1
50.31.213.91,44,0,18,1
67.215.248.150,44,0,18,1
196.196.101.179,44,0,18,1
51.255.4.141,44,0,18,1
104.85.250.38,44,0,18,1
178.117.192.210,44,0,18,1
162.144.20.39,44,0,18,1
23.54.198.172,44,0,18,1
107.158.118.205,44,0,18,1
184.50.156.38,44,0,18,1
38.123.81.121,44,0,18,1
167.82.11.95,44,0,18,1
23.41.148.162,44,0,18,1
217.181.50.20,44,0,18,1
23.55.68.39,44,0,18,1
20.157.222.111,44,0,18,1
23.218.21.18,44,0,18,1
136.243.127.155,44,0,18,1
115.146.0.39,44,0,18,1
85.128.205.197,44,0,18,1
3.131.235.54,44,0,18,1
213.135.183.59,44,0,18,1
94.142.234.102,44,0,18,1
23.38.87.219,44,0,18,1
54.176.65.158,44,0,18,1
177.92.6.28,44,0,18,1
210.196.193.41,44,0,18,1
170.130.228.8,44,0,18,1
1.223.252.234,44,0,18,1
5.235.187.167,44,0,18,1
54.253.55.28,44,0,18,1
34.123.240.163,44,0,18,1
104.78.58.146,44,0,18,1
168.206.128.15,44,0,18,1
193.33.87.92,44,0,18,1
95.100.10.25,44,0,18,1
54.201.55.113,44,0,18,1
49.235.225.4,44,0,18,1
184.87.178.250,44,0,18,1
52.74.248.109,44,0,18,1
3.20.238.4,44,0,18,1
193.246.70.69,44,0,18,1
18.66.183.225,44,0,18,1
5.235.65.62,44,0,18,1
23.42.78.73,44,0,18,1
146.190.193.133,44,0,18,1
158.247.210.55,44,0,18,1
209.14.130.11,44,0,18,1
222.235.181.40,44,0,18,1
117.48.233.44,44,0,18,1
141.148.244.128,44,0,18,1
148.72.175.192,44,0,18,1
82.99.53.145,44,0,18,1
156.224.43.155,44,0,18,1
20.190.190.102,44,0,18,1
35.244.221.189,44,0,18,1
13.227.1.58,44,0,18,1
172.245.33.35,44,0,18,1
79.96.187.121,44,0,18,1
188.165.175.241,44,0,18,1
23.42.103.116,44,0,18,1
23.6.220.10,44,0,18,1
69.7.123.75,44,0,18,1
134.209.103.149,44,0,18,1
206.85.33.181,44,0,18,1
104.122.74.30,44,0,18,1
91.216.27.42,44,0,18,1
81.70.240.223,44,0,18,1
206.237.251.44,44,0,18,1
38.92.188.167,44,0,18,1
64.237.2.29,72,32,20,0
185.88.88.15,44,0,18,1
3.73.65.166,44,0,18,1
144.202.125.157,44,0,18,1
65.0.197.109,44,0,18,1
3.94.23.130,44,0,18,1
4.193.148.110,44,0,18,1
23.45.61.167,44,0,18,1
3.23.108.70,44,0,18,1
47.103.107.222,44,0,18,1
61.40.128.3,44,0,18,1
2.80.97.6,44,0,18,1
23.219.210.121,44,0,18,1
