saddr,len,payloadlen,flags,validation_type
104.113.3.169,44,0,18,1
76.223.94.243,44,0,18,1
107.158.57.101,44,0,18,1
5.104.245.19,44,0,18,1
206.237.165.103,44,0,18,1
164.55.251.110,44,0,18,1
99.86.156.225,44,0,18,1
104.110.12.229,44,0,18,1
100.25.66.181,44,0,18,1
188.172.226.223,44,0,18,1
185.179.247.223,44,0,18,1
190.71.52.74,44,0,18,1
74.207.249.151,44,0,18,1
68.142.68.215,44,0,18,1
104.81.113.66,44,0,18,1
185.227.102.173,44,0,18,1
34.143.40.60,44,0,18,1
104.19.74.181,44,0,18,1
185.250.106.176,44,0,18,1
70.169.140.68,44,0,18,1
199.127.44.215,44,0,18,1
54.230.59.107,44,0,18,1
94.180.244.1,44,0,18,1
104.223.108.156,44,0,18,1
46.183.113.60,44,0,18,1
84.46.79.48,44,0,18,1
23.62.141.140,44,0,18,1
23.74.131.116,44,0,18,1
149.51.244.208,44,0,18,1
95.101.71.29,44,0,18,1
38.101.30.45,44,0,18,1
176.53.156.193,44,0,18,1
23.56.232.218,44,0,18,1
34.160.34.254,44,0,18,1
82.153.242.12,44,0,18,1
156.233.220.88,44,0,18,1
3.209.252.149,44,0,18,1
190.6.199.26,44,0,18,1
84.221.191.156,44,0,18,1
13.225.99.184,44,0,18,1
52.69.148.27,44,0,18,1
86.101.237.109,44,0,18,1
23.194.245.19,44,0,18,1
216.152.140.152,44,0,18,1
18.211.234.226,44,0,18,1
45.13.252.28,44,0,18,1
23.33.233.191,44,0,18,1
80.240.161.2,44,0,18,1
87.75.174.164,44,0,18,1
23.207.59.123,44,0,18,1
78.47.109.146,44,0,18,1
104.91.237.208,44,0,18,1
23.198.127.17,44,0,18,1
3.236.73.229,44,0,18,1
172.80.42.104,44,0,18,1
185.141.116.101,44,0,18,1
45.117.143.70,44,0,18,1
104.212.67.230,44,0,18,1
64.44.113.107,44,0,18,1
173.254.28.42,44,0,18,1
184.68.18.174,44,0,18,1
52.27.229.33,44,0,18,1
140.82.51.38,44,0,18,1
185.193.28.69,44,0,18,1
92.122.225.4,44,0,18,1
103.40.244.36,226,186,2,1
3.37.70.207,44,0,18,1
195.238.84.22,44,0,18,1
151.99.219.106,44,0,18,1
45.86.49.94,44,0,18,1
18.136.11.134,44,0,18,1
23.1.69.104,44,0,18,1
117.161.161.225,44,0,18,1
163.18.17.76,44,0,18,1
36.235.237.106,44,0,18,1
82.147.128.94,44,0,18,1
67.222.42.60,44,0,18,1
190.226.32.13,44,0,18,1
2.20.3.62,44,0,18,1
20.197.104.46,44,0,18,1
35.156.87.42,44,0,18,1
103.166.39.202,44,0,18,1
47.245.16.64,44,0,18,1
54.172.167.248,44,0,18,1
23.53.20.214,44,0,18,1
170.254.4.177,44,0,18,1
99.192.209.181,44,0,18,1
82.64.198.43,44,0,18,1
35.156.242.196,44,0,18,1
155.99.155.155,44,0,18,1
143.244.151.111,44,0,18,1
104.74.207.219,44,0,18,1
43.132.155.73,44,0,18,1
47.87.192.29,44,0,18,1
66.159.35.25,44,0,18,1
52.72.218.240,44,0,18,1
143.248.87.64,44,0,18,1
54.226.169.168,44,0,18,1
193.162.29.247,44,0,18,1
66.84.18.228,44,0,18,1
52.40.183.108,44,0,18,1
23.32.218.50,44,0,18,1
23.224.248.32,44,0,18,1
104.127.252.151,44,0,18,1
38.177.77.25,44,0,18,1
74.81.38.147,44,0,18,1
159.69.124.8,44,0,18,1
108.158.238.5,44,0,18,1
51.250.27.228,44,0,18,1
204.44.192.35,44,0,18,1
108.160.148.238,44,0,18,1
23.94.112.108,44,0,18,1
223.94.103.193,50,10,20,1
83.167.20.129,169,129,24,1
83.167.20.129,169,129,24,1
83.167.20.129,169,129,24,1
205.207.145.42,44,0,18,1
104.19.68.106,44,0,18,1
35.157.189.163,44,0,18,1
52.66.175.171,44,0,18,1
54.92.15.95,44,0,18,1
151.80.45.181,44,0,18,1
165.22.243.135,44,0,18,1
111.1.126.180,50,10,20,1
52.183.70.15,44,0,18,1
104.112.164.171,44,0,18,1
192.159.161.168,44,0,18,1
168.158.140.174,44,0,18,1
210.148.173.80,44,0,18,1
109.207.143.133,44,0,18,1
168.121.118.237,44,0,18,1
195.145.35.117,44,0,18,1
192.107.140.218,44,0,18,1
154.9.95.221,44,0,18,1
52.216.96.252,44,0,18,1
212.120.97.124,44,0,18,1
177.129.248.19,44,0,18,1
177.229.121.22,44,0,18,1
18.155.80.210,44,0,18,1
104.94.153.240,44,0,18,1
121.132.59.34,44,0,18,1
52.204.147.178,44,0,18,1
72.21.14.18,44,0,18,1
156.252.232.205,44,0,18,1
222.90.28.3,44,0,18,1
104.124.190.107,44,0,18,1
103.174.96.24,44,0,18,1
85.128.203.35,44,0,18,1
34.117.143.92,44,0,18,1
95.100.242.90,44,0,18,1
186.7.39.158,44,0,18,1
43.248.169.31,44,0,18,1
217.75.172.241,44,0,18,1
175.210.210.126,44,0,18,1
83.141.9.187,44,0,18,1
83.173.136.24,44,0,18,1
199.203.232.82,44,0,18,1
164.92.74.43,44,0,18,1
77.118.60.190,44,0,18,1
208.184.128.125,44,0,18,1
112.126.160.204,44,0,18,1
103.5.149.35,44,0,18,1
52.72.14.188,44,0,18,1
35.245.72.182,44,0,18,1
50.75.216.88,44,0,18,1
54.168.61.125,44,0,18,1
103.161.3.209,44,0,18,1
43.201.129.38,44,0,18,1
192.241.183.183,44,0,18,1
96.16.42.195,44,0,18,1
159.69.26.217,44,0,18,1
183.245.21.4,50,10,20,1
197.211.29.101,44,0,18,1
34.101.198.44,44,0,18,1
162.214.255.44,44,0,18,1
104.71.132.79,44,0,18,1
62.80.5.38,44,0,18,1
15.161.120.113,44,0,18,1
172.120.221.88,44,0,18,1
34.160.193.152,44,0,18,1
66.180.141.250,44,0,18,1
221.158.51.189,44,0,18,1
52.43.127.13,44,0,18,1
74.220.220.69,44,0,18,1
184.31.53.140,44,0,18,1
96.92.245.249,44,0,18,1
167.172.72.218,44,0,18,1
14.248.29.11,44,0,18,1
20.237.157.101,44,0,18,1
45.56.121.55,44,0,18,1
89.117.88.235,44,0,18,1
3.37.28.238,44,0,18,1
132.248.142.14,44,0,18,1
67.7.139.29,44,0,18,1
23.77.80.197,44,0,18,1
69.48.141.208,44,0,18,1
114.34.67.109,44,0,18,1
81.19.177.76,44,0,18,1
52.196.94.28,44,0,18,1
34.233.132.242,44,0,18,1
18.170.6.248,44,0,18,1
86.18.161.39,44,0,18,1
72.71.233.26,44,0,18,1
176.114.205.5,237,197,24,1
195.96.8.17,44,0,18,1
151.101.88.176,44,0,18,1
54.185.54.255,44,0,18,1
88.247.32.121,44,0,18,1
84.73.68.1,44,0,18,1
84.19.177.87,44,0,18,1
199.182.166.229,44,0,18,1
90.145.41.40,44,0,18,1
148.251.152.34,44,0,18,1
52.78.148.24,44,0,18,1
213.32.99.126,44,0,18,1
120.193.43.4,50,10,20,1
23.192.75.8,44,0,18,1
111.69.8.24,44,0,18,1
112.126.215.234,44,0,18,1
23.218.127.109,44,0,18,1
23.243.230.198,44,0,18,1
23.10.228.75,44,0,18,1
223.4.64.42,44,0,18,1
13.114.223.143,44,0,18,1
81.28.111.148,44,0,18,1
23.235.211.146,44,0,18,1
104.16.40.176,44,0,18,1
104.77.2.217,44,0,18,1
123.141.236.205,44,0,18,1
118.221.15.108,44,0,18,1
96.126.55.24,44,0,18,1
3.228.215.146,44,0,18,1
23.37.108.42,44,0,18,1
62.122.190.66,44,0,18,1
108.158.251.186,44,0,18,1
154.206.127.93,44,0,18,1
178.254.62.87,44,0,18,1
151.233.56.102,44,0,18,1
31.204.118.32,44,0,18,1
62.73.6.230,44,0,18,1
173.82.98.4,44,0,18,1
154.213.132.41,44,0,18,1
23.12.111.88,44,0,18,1
143.125.242.220,44,0,18,1
65.8.81.105,44,0,18,1
182.176.26.21,44,0,18,1
112.74.26.242,44,0,18,1
18.164.165.236,44,0,18,1
20.239.22.3,44,0,18,1
146.99.81.42,44,0,18,1
58.220.1.189,44,0,18,1
199.187.234.137,44,0,18,1
3.123.51.13,44,0,18,1
52.25.142.108,44,0,18,1
18.216.44.254,44,0,18,1
34.231.214.190,44,0,18,1
64.137.174.162,44,0,18,1
120.27.227.180,44,0,18,1
176.114.202.39,237,197,24,1
23.38.110.204,44,0,18,1
50.57.254.128,44,0,18,1
103.54.207.120,44,0,18,1
23.204.213.105,44,0,18,1
194.163.135.232,44,0,18,1
115.79.234.192,44,0,18,1
141.98.197.167,44,0,18,1
23.63.224.161,44,0,18,1
66.98.87.35,44,0,18,1
81.21.29.98,44,0,18,1
91.207.147.217,277,237,24,1
208.113.245.207,44,0,18,1
204.15.252.176,44,0,18,1
34.236.251.142,44,0,18,1
117.149.52.218,50,10,20,1
122.200.238.156,44,0,18,1
13.227.75.183,44,0,18,1
104.93.120.235,44,0,18,1
212.110.135.56,44,0,18,1
