saddr,len,payloadlen,flags,validation_type
3.220.65.234,44,0,18,1
3.230.250.218,44,0,18,1
18.211.83.215,44,0,18,1
18.67.64.186,44,0,18,1
45.79.129.180,44,0,18,1
34.236.115.119,44,0,18,1
104.27.89.249,44,0,18,1
23.52.151.26,44,0,18,1
137.66.15.243,44,0,18,1
104.123.97.65,44,0,18,1
104.103.120.193,44,0,18,1
23.60.193.225,44,0,18,1
18.225.4.143,44,0,18,1
108.170.41.87,44,0,18,1
23.214.153.128,44,0,18,1
107.149.195.124,44,0,18,1
34.71.53.125,44,0,18,1
5.14.28.173,44,0,18,1
52.239.205.115,44,0,18,1
35.162.237.169,44,0,18,1
50.2.27.32,44,0,18,1
108.138.68.218,44,0,18,1
190.163.232.208,44,0,18,1
23.223.182.76,44,0,18,1
161.156.187.169,44,0,18,1
44.238.206.153,44,0,18,1
188.130.12.5,44,0,18,1
130.176.85.195,44,0,18,1
23.220.0.210,44,0,18,1
206.237.150.221,44,0,18,1
13.32.192.9,44,0,18,1
52.8.56.150,44,0,18,1
52.68.69.149,44,0,18,1
104.95.72.130,44,0,18,1
35.90.151.250,44,0,18,1
168.135.112.17,44,0,18,1
104.237.135.205,44,0,18,1
103.229.248.222,44,0,18,1
23.3.205.125,44,0,18,1
52.192.146.13,44,0,18,1
98.42.167.193,44,0,18,1
23.219.254.202,44,0,18,1
104.89.198.166,44,0,18,1
209.204.227.43,44,0,18,1
34.144.234.246,44,0,18,1
176.111.29.140,44,0,18,1
184.31.107.104,44,0,18,1
60.191.14.85,44,0,18,1
194.32.242.237,44,0,18,1
5.178.33.1,44,0,18,1
52.77.8.79,44,0,18,1
121.204.33.33,44,0,18,1
51.91.77.239,44,0,18,1
172.249.65.249,44,0,18,1
209.133.211.252,44,0,18,1
194.99.106.28,44,0,18,1
104.74.29.42,44,0,18,1
35.189.107.84,44,0,18,1
74.218.232.174,44,0,18,1
34.66.182.122,44,0,18,1
52.57.126.130,44,0,18,1
91.106.30.121,44,0,18,1
180.211.6.179,44,0,18,1
114.34.107.51,44,0,18,1
52.206.201.194,44,0,18,1
82.119.80.162,44,0,18,1
44.195.75.45,44,0,18,1
124.220.164.77,44,0,18,1
155.99.113.23,44,0,18,1
92.122.18.202,44,0,18,1
3.129.2.93,44,0,18,1
1.251.97.79,44,0,18,1
71.226.229.64,44,0,18,1
101.33.43.147,44,0,18,1
20.195.57.164,44,0,18,1
5.150.243.222,44,0,18,1
23.47.153.57,44,0,18,1
104.107.156.60,44,0,18,1
23.222.127.249,44,0,18,1
92.123.179.10,44,0,18,1
50.2.128.18,44,0,18,1
34.246.3.69,44,0,18,1
52.85.90.57,44,0,18,1
200.88.151.172,44,0,18,1
104.74.148.250,44,0,18,1
23.221.81.40,44,0,18,1
84.32.216.8,44,0,18,1
85.25.159.149,44,0,18,1
23.203.214.83,44,0,18,1
119.246.40.252,44,0,18,1
142.11.22.50,44,0,18,1
103.110.53.194,44,0,18,1
154.201.161.149,44,0,18,1
104.19.219.200,44,0,18,1
142.92.69.142,44,0,18,1
13.35.118.91,44,0,18,1
47.102.100.6,44,0,18,1
34.221.170.118,44,0,18,1
98.236.110.79,44,0,18,1
168.119.4.60,44,0,18,1
104.116.234.92,44,0,18,1
23.42.200.31,44,0,18,1
157.245.140.163,44,0,18,1
173.87.174.224,44,0,18,1
34.159.9.176,44,0,18,1
157.211.175.176,44,0,18,1
81.91.87.22,44,0,18,1
192.142.31.86,44,0,18,1
15.204.56.108,44,0,18,1
51.81.52.153,44,0,18,1
42.106.160.154,44,0,18,1
152.92.82.132,44,0,18,1
185.161.141.110,44,0,18,1
27.131.108.43,44,0,18,1
121.40.60.113,44,0,18,1
222.73.165.23,44,0,18,1
18.65.50.45,44,0,18,1
23.53.53.115,44,0,18,1
173.232.108.106,44,0,18,1
212.122.188.67,44,0,18,1
171.244.27.107,44,0,18,1
88.221.228.202,44,0,18,1
146.75.103.195,44,0,18,1
192.99.241.182,44,0,18,1
3.105.43.247,44,0,18,1
52.197.46.89,44,0,18,1
23.193.247.136,44,0,18,1
23.215.176.49,44,0,18,1
208.113.169.216,44,0,18,1
184.26.247.88,44,0,18,1
185.149.132.96,44,0,18,1
102.39.34.141,44,0,18,1
185.254.65.23,44,0,18,1
162.248.7.253,44,0,18,1
218.157.173.143,44,0,18,1
148.251.65.7,44,0,18,1
18.154.32.125,44,0,18,1
197.35.19.189,44,0,18,1
85.214.191.201,44,0,18,1
38.163.184.72,44,0,18,1
185.142.154.141,44,0,18,1
163.19.37.203,44,0,18,1
184.30.21.174,44,0,18,1
177.132.54.117,44,0,18,1
185.134.114.165,44,0,18,1
104.104.155.172,44,0,18,1
104.247.216.132,44,0,18,1
117.214.64.47,44,0,18,1
182.92.209.57,44,0,18,1
18.161.143.72,44,0,18,1
52.59.132.176,44,0,18,1
85.185.192.61,44,0,18,1
104.114.68.136,44,0,18,1
99.84.180.116,44,0,18,1
54.85.178.24,44,0,18,1
162.159.42.34,44,0,18,1
52.196.35.194,44,0,18,1
3.138.38.217,44,0,18,1
54.192.144.86,44,0,18,1
203.143.89.108,44,0,18,1
63.254.156.234,44,0,18,1
47.93.50.86,44,0,18,1
188.225.21.66,44,0,18,1
195.195.116.1,44,0,18,1
159.223.124.37,44,0,18,1
52.118.100.4,44,0,18,1
185.250.20.80,44,0,18,1
104.114.88.197,44,0,18,1
47.98.247.121,44,0,18,1
47.254.20.254,44,0,18,1
52.64.9.87,44,0,18,1
80.242.25.11,44,0,18,1
213.169.64.8,44,0,18,1
69.192.91.234,44,0,18,1
142.250.79.170,44,0,18,1
5.105.25.222,44,0,18,1
121.155.239.94,44,0,18,1
50.118.148.99,44,0,18,1
188.128.148.43,44,0,18,1
8.142.44.74,44,0,18,1
138.201.205.184,44,0,18,1
202.148.55.135,44,0,18,1
103.229.215.93,44,0,18,1
138.68.251.190,44,0,18,1
103.11.1.160,44,0,18,1
186.128.170.84,44,0,18,1
217.61.54.140,44,0,18,1
137.26.23.114,44,0,18,1
3.143.139.29,44,0,18,1
5.76.168.134,44,0,18,1
150.60.93.154,44,0,18,1
170.130.245.183,44,0,18,1
89.44.194.194,44,0,18,1
118.215.10.172,44,0,18,1
77.75.249.78,44,0,18,1
112.202.180.201,44,0,18,1
142.4.195.160,44,0,18,1
38.54.117.109,44,0,18,1
212.118.106.130,44,0,18,1
122.114.45.127,44,0,18,1
104.85.169.254,44,0,18,1
96.6.157.63,44,0,18,1
115.167.31.190,44,0,18,1
188.148.134.160,44,0,18,1
192.126.210.153,44,0,18,1
49.234.13.126,44,0,18,1
3.131.223.13,44,0,18,1
54.230.181.200,44,0,18,1
193.95.63.133,44,0,18,1
3.122.7.153,44,0,18,1
223.119.237.65,44,0,18,1
168.206.243.115,44,0,18,1
95.100.162.166,44,0,18,1
18.192.66.158,44,0,18,1
54.173.158.219,44,0,18,1
38.123.3.66,44,0,18,1
206.189.51.224,44,0,18,1
23.201.210.37,44,0,18,1
75.101.182.245,44,0,18,1
5.253.29.181,44,0,18,1
156.255.128.240,44,0,18,1
81.200.193.17,44,0,18,1
62.182.80.62,44,0,18,1
95.100.161.66,44,0,18,1
2.19.202.60,44,0,18,1
23.204.254.237,44,0,18,1
95.85.86.81,44,0,18,1
13.126.19.93,44,0,18,1
210.79.67.164,44,0,18,1
198.58.107.157,44,0,18,1
104.75.99.199,44,0,18,1
216.92.59.11,44,0,18,1
175.225.28.156,44,0,18,1
154.23.10.105,44,0,18,1
107.149.95.153,44,0,18,1
185.26.99.79,44,0,18,1
78.40.37.235,44,0,18,1
216.185.213.229,44,0,18,1
185.230.88.34,44,0,18,1
162.0.159.145,44,0,18,1
34.122.87.5,44,0,18,1
