saddr,len,payloadlen,flags,validation_type
20.241.148.117,58,0,18,1
52.147.207.101,58,0,18,1
200.239.218.107,58,0,18,1
69.88.223.247,58,0,18,1
23.235.205.30,58,0,18,1
104.74.98.133,58,0,18,1
40.127.130.201,58,0,18,1
38.40.190.239,58,0,18,1
85.13.131.214,58,0,18,1
104.25.224.80,58,0,18,1
87.74.229.200,58,0,18,1
185.5.162.33,58,0,18,1
18.67.130.172,58,0,18,1
77.221.253.106,58,0,18,1
23.207.13.177,58,0,18,1
207.60.25.73,58,0,18,1
181.26.197.214,58,0,18,1
134.122.119.141,58,0,18,1
165.225.62.204,58,0,18,1
67.205.160.193,58,0,18,1
104.143.2.30,58,0,18,1
44.230.21.37,58,0,18,1
52.3.111.225,58,0,18,1
64.41.137.71,58,0,18,1
23.42.253.102,58,0,18,1
195.24.215.97,58,0,18,1
140.227.146.26,58,0,18,1
82.160.139.244,58,0,18,1
79.171.34.244,58,0,18,1
185.43.79.75,58,0,18,1
107.148.185.18,58,0,18,1
103.46.205.124,58,0,18,1
138.91.17.9,58,0,18,1
98.159.93.17,58,0,18,1
89.161.166.123,58,0,18,1
23.3.85.207,58,0,18,1
104.87.167.27,58,0,18,1
198.57.152.50,58,0,18,1
61.219.11.221,58,0,18,1
64.227.158.52,58,0,18,1
217.174.249.126,58,0,18,1
51.91.29.26,58,0,18,1
23.222.190.60,58,0,18,1
104.87.223.232,58,0,18,1
217.21.76.73,58,0,18,1
88.221.125.108,58,0,18,1
23.51.9.220,58,0,18,1
13.64.168.11,58,0,18,1
186.194.84.194,58,0,18,1
151.80.203.80,58,0,18,1
45.242.219.168,58,0,18,1
212.71.249.200,58,0,18,1
45.38.50.218,58,0,18,1
104.20.203.7,58,0,18,1
192.53.125.118,58,0,18,1
216.128.130.209,58,0,18,1
65.9.23.50,58,0,18,1
20.205.188.222,58,0,18,1
162.243.194.17,58,0,18,1
54.194.29.179,58,0,18,1
38.40.144.156,58,0,18,1
150.136.112.236,58,0,18,1
159.65.95.51,58,0,18,1
87.56.232.47,58,0,18,1
142.92.136.21,58,0,18,1
31.134.221.22,58,0,18,1
104.111.196.126,58,0,18,1
104.164.138.143,58,0,18,1
80.15.112.244,58,0,18,1
108.186.177.92,58,0,18,1
20.246.135.34,58,0,18,1
95.57.50.118,58,0,18,1
170.79.75.103,58,0,18,1
187.84.150.55,58,0,18,1
124.223.169.54,58,0,18,1
184.31.251.73,58,0,18,1
34.160.248.124,58,0,18,1
134.209.220.36,58,0,18,1
92.53.164.34,58,0,18,1
47.111.75.186,58,0,18,1
185.151.51.117,58,0,18,1
95.130.221.181,58,0,18,1
67.199.50.242,58,0,18,1
124.70.94.134,58,0,18,1
108.67.30.129,58,0,18,1
79.179.184.188,58,0,18,1
46.8.101.240,58,0,18,1
125.252.234.32,58,0,18,1
173.236.145.80,58,0,18,1
80.13.235.199,58,0,18,1
185.254.241.84,58,0,18,1
52.199.143.112,58,0,18,1
85.128.175.175,58,0,18,1
18.204.62.62,58,0,18,1
108.61.164.46,58,0,18,1
94.18.236.174,58,0,18,1
166.88.126.82,58,0,18,1
206.53.180.153,58,0,18,1
39.108.61.108,58,0,18,1
38.63.18.61,58,0,18,1
161.47.40.120,58,0,18,1
162.240.49.73,58,0,18,1
184.31.89.223,58,0,18,1
104.78.214.22,58,0,18,1
54.66.210.159,58,0,18,1
54.166.103.105,58,0,18,1
189.45.19.81,58,0,18,1
23.217.83.226,58,0,18,1
69.20.103.239,58,0,18,1
173.222.94.144,58,0,18,1
176.255.234.147,58,0,18,1
167.224.110.172,58,0,18,1
74.208.153.157,58,0,18,1
81.218.185.84,58,0,18,1
52.196.194.150,58,0,18,1
34.117.235.127,58,0,18,1
103.179.182.105,58,0,18,1
81.68.73.161,58,0,18,1
35.223.33.204,58,0,18,1
23.72.56.32,58,0,18,1
40.115.105.82,58,0,18,1
24.244.53.20,58,0,18,1
39.101.181.138,58,0,18,1
220.134.245.109,58,0,18,1
23.67.204.219,58,0,18,1
151.229.145.93,58,0,18,1
104.40.3.173,58,0,18,1
128.143.16.46,58,0,18,1
146.160.32.138,58,0,18,1
