saddr,len,payloadlen,flags,validation_type
3.234.47.14,58,0,18,1
192.3.15.200,58,0,18,1
168.247.10.33,58,0,18,1
66.23.226.217,58,0,18,1
216.92.198.62,58,0,18,1
52.232.68.255,58,0,18,1
158.247.20.137,58,0,18,1
107.164.212.132,58,0,18,1
23.43.206.141,58,0,18,1
189.172.168.247,58,0,18,1
107.167.6.67,58,0,18,1
46.137.73.24,58,0,18,1
208.118.230.134,58,0,18,1
206.189.228.49,58,0,18,1
91.147.170.96,58,0,18,1
23.79.61.173,58,0,18,1
31.40.32.34,247,193,24,0
104.88.24.178,58,0,18,1
98.126.67.155,58,0,18,1
20.245.175.235,58,0,18,1
34.149.40.54,58,0,18,1
88.99.33.93,58,0,18,1
185.141.171.98,58,0,18,1
18.238.166.134,58,0,18,1
3.23.189.240,58,0,18,1
185.11.149.38,286,232,24,0
189.240.240.82,58,0,18,1
216.211.118.87,58,0,18,1
120.53.242.7,58,0,18,1
13.112.254.51,58,0,18,1
176.124.41.22,58,0,18,1
64.94.211.89,58,0,18,1
18.221.168.125,58,0,18,1
35.203.179.138,58,0,18,1
186.6.183.132,58,0,18,1
203.159.92.101,58,0,18,1
18.211.45.48,58,0,18,1
52.87.71.201,58,0,18,1
47.111.19.83,807,753,24,0
23.45.207.113,58,0,18,1
47.111.19.83,58,0,18,1
103.251.150.166,58,0,18,1
45.13.31.113,58,0,18,1
185.243.15.100,58,0,18,1
35.85.25.30,58,0,18,1
52.43.29.78,58,0,18,1
23.66.168.122,58,0,18,1
18.184.244.58,58,0,18,1
74.116.228.54,58,0,18,1
195.93.229.60,256,202,24,0
159.135.4.235,58,0,18,1
207.148.65.171,58,0,18,1
104.84.212.50,58,0,18,1
23.37.4.167,58,0,18,1
4.228.26.10,58,0,18,1
174.79.37.123,58,0,18,1
203.171.223.8,58,0,18,1
34.218.179.120,58,0,18,1
124.196.10.12,58,0,18,1
34.249.227.250,58,0,18,1
38.63.72.165,58,0,18,1
93.123.151.150,255,201,24,0
49.12.72.18,58,0,18,1
104.122.24.197,58,0,18,1
121.4.126.248,58,0,18,1
162.144.118.170,58,0,18,1
148.255.57.70,58,0,18,1
23.198.155.7,58,0,18,1
23.60.45.254,58,0,18,1
85.193.90.154,58,0,18,1
183.230.182.185,58,0,18,1
