saddr,len,payloadlen,flags,validation_type
52.7.132.35,58,0,18,1
104.127.67.172,58,0,18,1
54.160.209.167,58,0,18,1
20.102.38.199,58,0,18,1
195.167.165.49,58,0,18,1
23.65.204.151,58,0,18,1
47.189.78.170,58,0,18,1
154.12.32.122,58,0,18,1
23.1.80.249,58,0,18,1
144.217.170.96,58,0,18,1
157.245.136.160,58,0,18,1
80.71.227.32,58,0,18,1
89.20.178.212,58,0,18,1
185.206.168.164,58,0,18,1
54.71.196.83,58,0,18,1
188.40.162.248,58,0,18,1
23.230.223.25,58,0,18,1
207.204.11.67,58,0,18,1
52.203.195.168,58,0,18,1
23.10.139.234,58,0,18,1
156.251.233.84,62,0,18,1
205.236.245.35,58,0,18,1
52.31.195.215,58,0,18,1
193.176.118.144,58,0,18,1
166.0.212.56,58,0,18,1
179.53.150.239,58,0,18,1
104.66.70.142,58,0,18,1
152.92.84.65,58,0,18,1
185.17.183.61,58,0,18,1
188.240.230.113,58,0,18,1
66.22.84.4,58,0,18,1
173.249.58.46,58,0,18,1
216.234.82.8,58,0,18,1
104.108.79.26,58,0,18,1
71.68.6.133,58,0,18,1
38.242.149.25,58,0,18,1
95.86.88.244,58,0,18,1
23.72.76.220,58,0,18,1
87.103.240.92,58,0,18,1
54.69.76.236,58,0,18,1
95.217.56.163,58,0,18,1
17.188.198.6,58,0,18,1
185.106.22.239,58,0,18,1
188.40.30.80,58,0,18,1
77.72.144.116,58,0,18,1
96.16.103.209,58,0,18,1
54.200.162.55,58,0,18,1
23.208.232.91,58,0,18,1
47.88.146.163,58,0,18,1
109.12.63.36,58,0,18,1
68.183.130.65,58,0,18,1
185.188.249.241,58,0,18,1
54.172.202.7,58,0,18,1
170.130.92.19,58,0,18,1
186.6.13.59,58,0,18,1
163.139.174.16,58,0,18,1
3.11.213.79,58,0,18,1
104.89.87.148,58,0,18,1
155.98.69.178,58,0,18,1
45.91.208.119,58,0,18,1
212.19.101.165,58,0,18,1
210.109.157.75,58,0,18,1
38.163.14.218,58,0,18,1
104.125.10.249,58,0,18,1
78.47.64.138,58,0,18,1
52.253.70.231,58,0,18,1
176.66.72.250,58,0,18,1
51.38.1.55,58,0,18,1
5.75.158.121,58,0,18,1
170.10.249.9,58,0,18,1
89.211.193.251,281,227,24,0
193.238.158.103,58,0,18,1
23.217.135.85,58,0,18,1
61.222.213.19,58,0,18,1
54.92.6.238,58,0,18,1
20.231.195.229,58,0,18,1
107.149.77.201,58,0,18,1
85.128.167.14,58,0,18,1
64.33.198.90,58,0,18,1
51.81.106.10,58,0,18,1
38.114.103.63,58,0,18,1
194.3.139.59,58,0,18,1
206.72.250.67,58,0,18,1
206.72.250.67,58,0,18,1
143.198.101.227,58,0,18,1
134.209.22.232,58,0,18,1
142.92.202.104,58,0,18,1
23.63.78.137,58,0,18,1
129.154.4.187,58,0,18,1
103.244.151.112,58,0,18,1
104.17.63.1,58,0,18,1
3.90.65.37,58,0,18,1
84.31.21.134,58,0,18,1
52.136.242.152,58,0,18,1
198.41.215.116,58,0,18,1
13.85.85.86,58,0,18,1
152.92.38.19,58,0,18,1
3.129.117.144,58,0,18,1
34.125.32.39,58,0,18,1
178.238.238.121,58,0,18,1
83.219.229.71,58,0,18,1
75.2.81.161,58,0,18,1
47.115.229.188,58,0,18,1
160.16.67.153,58,0,18,1
183.106.234.229,58,0,18,1
179.52.10.219,58,0,18,1
193.86.185.187,58,0,18,1
80.90.185.44,58,0,18,1
154.210.26.246,58,0,18,1
34.102.130.21,58,0,18,1
75.101.216.150,58,0,18,1
104.208.35.74,58,0,18,1
103.126.86.9,58,0,18,1
54.90.114.128,58,0,18,1
34.96.71.126,58,0,18,1
54.221.130.34,58,0,18,1
34.204.142.173,58,0,18,1
31.10.71.147,294,240,24,0
122.254.110.252,58,0,18,1
66.57.137.245,58,0,18,1
142.4.75.60,58,0,18,1
13.249.93.47,58,0,18,1
181.177.96.104,58,0,18,1
104.196.19.188,58,0,18,1
