saddr,len,payloadlen,flags,validation_type
96.255.6.219,58,0,18,1
64.182.175.4,58,0,18,1
66.220.140.133,58,0,18,1
38.54.151.62,58,0,18,1
18.157.52.40,58,0,18,1
204.191.12.79,58,0,18,1
23.63.144.252,58,0,18,1
151.236.99.58,58,0,18,1
52.72.124.119,58,0,18,1
159.253.221.144,58,0,18,1
149.111.131.112,58,0,18,1
104.136.149.116,58,0,18,1
18.165.53.58,58,0,18,1
194.247.6.132,58,0,18,1
18.160.39.138,58,0,18,1
73.250.87.168,58,0,18,1
163.191.173.189,58,0,18,1
167.160.176.45,58,0,18,1
52.86.255.72,58,0,18,1
212.106.123.163,58,0,18,1
18.194.240.189,58,0,18,1
49.235.120.94,169,115,24,0
212.113.71.76,58,0,18,1
104.104.54.84,58,0,18,1
41.225.129.0,58,0,18,1
128.250.3.207,58,0,18,1
23.223.219.72,58,0,18,1
82.157.77.89,169,115,24,0
150.158.106.61,169,115,24,0
85.14.110.209,58,0,18,1
108.138.156.82,58,0,18,1
52.37.25.31,58,0,18,1
106.54.174.134,169,115,24,0
138.4.221.61,58,0,18,1
211.57.248.233,58,0,18,1
34.118.115.233,58,0,18,1
52.11.189.173,58,0,18,1
58.87.124.103,169,115,24,0
13.237.169.177,58,0,18,1
78.83.167.63,58,0,18,1
78.83.167.63,58,0,18,1
98.67.137.77,58,0,18,1
13.227.65.32,58,0,18,1
218.228.195.94,58,0,18,1
108.138.171.16,58,0,18,1
138.100.133.142,58,0,18,1
112.125.193.162,58,0,18,1
1.12.178.147,169,115,24,0
170.200.166.211,58,0,18,1
23.79.127.53,58,0,18,1
107.173.185.190,58,0,18,1
47.93.8.19,58,0,18,1
69.51.205.184,58,0,18,1
107.148.108.21,58,0,18,1
121.5.131.103,169,115,24,0
50.236.236.110,58,0,18,1
104.86.83.253,58,0,18,1
18.67.10.129,58,0,18,1
154.205.230.205,58,0,18,1
154.64.36.15,58,0,18,1
81.71.155.226,169,115,24,0
23.216.221.70,58,0,18,1
150.138.188.36,58,0,18,1
54.69.45.98,58,0,18,1
118.24.137.209,169,115,24,0
106.55.139.2,169,115,24,0
185.215.146.229,58,0,18,1
44.198.60.86,58,0,18,1
196.51.129.229,58,0,18,1
104.19.144.201,58,0,18,1
93.177.221.43,58,0,18,1
196.196.195.24,58,0,18,1
13.249.185.158,58,0,18,1
196.51.74.87,58,0,18,1
54.205.89.109,58,0,18,1
220.69.219.159,58,0,18,1
