saddr,len,payloadlen,flags,validation_type
23.220.135.196,58,0,18,1
23.220.132.199,58,0,18,1
162.159.51.112,58,0,18,1
104.140.108.121,58,0,18,1
18.207.47.174,58,0,18,1
45.79.25.82,58,0,18,1
173.0.177.43,58,0,18,1
18.154.197.8,58,0,18,1
84.7.168.16,58,0,18,1
23.196.245.30,58,0,18,1
50.116.74.129,58,0,18,1
54.217.243.163,58,0,18,1
108.177.14.97,58,0,18,1
45.149.103.110,58,0,18,1
52.56.140.133,58,0,18,1
96.69.44.12,58,0,18,1
67.225.172.48,58,0,18,1
2.57.214.218,58,0,18,1
23.56.176.209,58,0,18,1
20.76.231.100,58,0,18,1
150.60.95.143,58,0,18,1
157.230.179.41,58,0,18,1
144.217.207.83,58,0,18,1
44.195.81.139,58,0,18,1
13.249.45.143,58,0,18,1
52.84.39.127,58,0,18,1
154.6.194.94,58,0,18,1
177.136.224.2,58,0,18,1
23.63.202.43,58,0,18,1
154.197.132.164,58,0,18,1
181.200.227.142,58,0,18,1
104.66.97.205,58,0,18,1
137.74.193.216,58,0,18,1
216.124.134.72,58,0,18,1
23.24.225.189,58,0,18,1
23.198.26.105,58,0,18,1
141.95.243.57,58,0,18,1
182.160.7.28,58,0,18,1
50.87.233.44,58,0,18,1
72.3.29.154,58,0,18,1
154.210.58.53,58,0,18,1
172.171.78.61,58,0,18,1
46.35.187.200,58,0,18,1
51.91.10.84,58,0,18,1
135.181.3.231,58,0,18,1
84.205.36.43,58,0,18,1
134.6.48.10,58,0,18,1
188.114.224.6,58,0,18,1
81.69.11.94,173,119,24,0
188.114.252.61,58,0,18,1
202.137.230.246,58,0,18,1
199.26.114.153,58,0,18,1
172.64.147.90,58,0,18,1
52.64.220.53,58,0,18,1
185.51.232.105,58,0,18,1
34.255.202.73,58,0,18,1
18.193.147.197,58,0,18,1
190.99.190.132,58,0,18,1
27.254.152.118,58,0,18,1
8.222.229.127,58,0,18,1
18.140.58.175,58,0,18,1
18.159.149.149,58,0,18,1
104.81.221.106,58,0,18,1
95.175.110.175,58,0,18,1
147.46.34.248,58,0,18,1
27.48.79.14,58,0,18,1
188.212.156.16,58,0,18,1
220.134.27.97,58,0,18,1
91.226.93.121,58,0,18,1
23.212.186.198,58,0,18,1
18.219.210.227,58,0,18,1
2.21.60.234,58,0,18,1
196.13.208.39,58,0,18,1
74.204.160.215,58,0,18,1
45.80.28.60,58,0,18,1
92.46.174.158,58,0,18,1
67.209.125.217,58,0,18,1
5.9.19.182,58,0,18,1
35.76.52.138,58,0,18,1
23.221.62.127,58,0,18,1
23.77.175.118,58,0,18,1
155.138.195.57,58,0,18,1
34.225.187.12,58,0,18,1
18.139.155.117,58,0,18,1
212.127.187.160,58,0,18,1
138.19.21.222,58,0,18,1
43.243.211.182,58,0,18,1
109.155.193.112,58,0,18,1
23.48.29.129,58,0,18,1
54.230.0.107,58,0,18,1
94.230.200.234,58,0,18,1
70.97.219.197,58,0,18,1
52.78.121.226,58,0,18,1
3.133.4.219,58,0,18,1
149.28.221.159,58,0,18,1
104.100.217.103,58,0,18,1
192.227.166.70,58,0,18,1
35.155.88.171,58,0,18,1
103.3.247.42,58,0,18,1
54.230.23.197,58,0,18,1
173.236.189.6,58,0,18,1
42.119.179.147,58,0,18,1
195.231.70.241,58,0,18,1
106.53.174.99,173,119,24,0
108.158.49.172,58,0,18,1
109.228.37.234,58,0,18,1
152.30.229.29,58,0,18,1
104.27.101.111,58,0,18,1
157.245.132.112,58,0,18,1
140.248.147.33,58,0,18,1
23.47.56.105,58,0,18,1
23.204.85.188,58,0,18,1
69.192.33.200,58,0,18,1
5.45.124.37,58,0,18,1
120.157.35.15,58,0,18,1
96.16.221.51,58,0,18,1
34.219.19.170,58,0,18,1
190.173.128.180,58,0,18,1
173.222.94.26,58,0,18,1
52.22.153.120,58,0,18,1
71.37.173.178,58,0,18,1
153.122.103.82,58,0,18,1
220.158.244.205,58,0,18,1
52.198.4.110,58,0,18,1
54.151.151.72,58,0,18,1
220.128.190.55,58,0,18,1
168.61.6.141,58,0,18,1
15.236.171.166,58,0,18,1
108.165.47.193,58,0,18,1
43.152.43.28,58,0,18,1
160.40.241.10,58,0,18,1
3.227.214.80,58,0,18,1
23.45.137.141,58,0,18,1
23.58.244.160,58,0,18,1
194.49.51.94,58,0,18,1
45.76.166.224,58,0,18,1
122.116.29.116,58,0,18,1
184.87.78.206,58,0,18,1
185.115.78.3,58,0,18,1
75.3.232.203,58,0,18,1
118.214.100.83,58,0,18,1
34.144.227.236,58,0,18,1
173.234.232.74,58,0,18,1
190.232.90.1,58,0,18,1
150.101.181.36,58,0,18,1
85.242.147.184,58,0,18,1
104.84.23.53,58,0,18,1
201.44.175.11,58,0,18,1
200.88.57.49,58,0,18,1
23.74.124.68,58,0,18,1
69.61.84.189,58,0,18,1
23.218.171.229,58,0,18,1
202.88.38.238,58,0,18,1
13.215.146.198,58,0,18,1
89.47.234.91,58,0,18,1
69.162.13.94,58,0,18,1
119.216.22.148,58,0,18,1
203.12.248.130,58,0,18,1
54.197.229.92,58,0,18,1
116.203.229.8,58,0,18,1
149.19.34.182,58,0,18,1
133.42.126.239,58,0,18,1
185.142.81.13,58,0,18,1
23.12.183.152,58,0,18,1
209.204.175.169,58,0,18,1
189.108.172.19,58,0,18,1
34.117.65.160,58,0,18,1
47.94.102.234,58,0,18,1
102.67.141.51,58,0,18,1
23.201.251.64,58,0,18,1
34.102.135.192,58,0,18,1
104.20.80.78,58,0,18,1
154.216.179.109,58,0,18,1
52.42.65.68,58,0,18,1
128.199.73.229,58,0,18,1
221.152.176.158,58,0,18,1
65.0.49.45,58,0,18,1
173.199.153.254,58,0,18,1
69.175.96.136,58,0,18,1
192.185.168.30,58,0,18,1
104.164.55.138,58,0,18,1
128.245.19.187,58,0,18,1
38.86.135.105,58,0,18,1
52.192.0.203,58,0,18,1
146.148.236.161,58,0,18,1
23.193.214.16,58,0,18,1
132.205.220.220,58,0,18,1
23.67.157.12,58,0,18,1
91.199.61.249,58,0,18,1
68.183.207.72,58,0,18,1
104.107.145.13,58,0,18,1
45.242.88.134,58,0,18,1
104.237.72.116,58,0,18,1
159.89.246.71,58,0,18,1
178.219.113.204,58,0,18,1
118.89.105.102,173,119,24,0
118.89.105.102,58,0,18,1
154.213.74.196,58,0,18,1
78.7.78.35,58,0,18,1
158.160.27.152,58,0,18,1
161.117.163.235,58,0,18,1
35.207.59.12,58,0,18,1
144.91.68.85,58,0,18,1
54.233.229.179,58,0,18,1
168.90.197.241,58,0,18,1
107.154.156.136,58,0,18,1
23.225.133.215,58,0,18,1
195.86.59.58,58,0,18,1
23.19.3.91,58,0,18,1
156.3.203.201,95,41,20,1
186.7.11.22,58,0,18,1
3.219.181.36,58,0,18,1
198.7.31.177,58,0,18,1
104.64.79.82,58,0,18,1
103.37.242.58,58,0,18,1
104.81.221.106,58,0,18,1
23.212.186.198,58,0,18,1
104.211.185.15,58,0,18,1
18.65.6.60,58,0,18,1
142.92.131.200,58,0,18,1
34.225.152.141,58,0,18,1
206.162.229.137,58,0,18,1
45.194.82.108,58,0,18,1
23.223.18.42,58,0,18,1
59.127.119.158,58,0,18,1
98.208.253.247,58,0,18,1
38.55.36.107,58,0,18,1
81.93.193.85,58,0,18,1
195.167.172.190,58,0,18,1
52.85.80.217,58,0,18,1
190.172.118.117,58,0,18,1
13.69.168.38,58,0,18,1
43.204.242.125,58,0,18,1
18.244.138.221,58,0,18,1
198.8.7.163,58,0,18,1
73.158.157.95,58,0,18,1
34.202.73.126,58,0,18,1
81.131.6.179,58,0,18,1
54.193.7.48,58,0,18,1
77.136.234.78,58,0,18,1
83.149.22.142,58,0,18,1
143.89.108.121,58,0,18,1
23.27.224.2,58,0,18,1
72.134.247.75,58,0,18,1
104.101.84.133,58,0,18,1
54.84.254.246,58,0,18,1
5.78.72.249,58,0,18,1
96.7.92.128,58,0,18,1
156.240.47.73,58,0,18,1
23.217.19.86,58,0,18,1
104.88.149.62,58,0,18,1
103.198.190.48,58,0,18,1
108.137.72.227,58,0,18,1
103.28.250.62,58,0,18,1
192.41.26.189,58,0,18,1
42.119.179.147,58,0,18,1
185.200.46.157,58,0,18,1
34.117.129.36,58,0,18,1
38.6.66.102,58,0,18,1
188.128.144.218,58,0,18,1
18.154.72.217,58,0,18,1
104.86.218.15,58,0,18,1
45.42.33.38,58,0,18,1
18.168.124.78,58,0,18,1
45.200.43.13,58,0,18,1
143.204.80.80,58,0,18,1
104.111.163.159,58,0,18,1
80.84.25.170,58,0,18,1
190.114.255.212,58,0,18,1
104.252.233.88,58,0,18,1
156.248.178.225,58,0,18,1
186.8.84.13,95,41,20,1
129.24.93.44,58,0,18,1
74.84.144.196,58,0,18,1
23.234.246.59,58,0,18,1
104.252.193.114,58,0,18,1
154.9.136.217,58,0,18,1
140.248.154.244,58,0,18,1
3.228.132.224,58,0,18,1
192.166.119.253,58,0,18,1
217.92.155.78,58,0,18,1
52.85.94.235,58,0,18,1
18.139.164.222,58,0,18,1
195.146.156.227,58,0,18,1
3.216.183.198,58,0,18,1
137.132.24.23,58,0,18,1
52.217.75.219,58,0,18,1
78.156.121.138,58,0,18,1
45.77.71.52,58,0,18,1
23.66.69.96,58,0,18,1
23.40.9.223,58,0,18,1
207.223.45.206,58,0,18,1
213.129.105.167,58,0,18,1
173.255.3.195,58,0,18,1
104.113.101.173,58,0,18,1
69.1.161.165,58,0,18,1
108.167.243.46,58,0,18,1
172.252.15.210,58,0,18,1
18.154.111.31,58,0,18,1
3.137.38.28,58,0,18,1
134.119.211.101,58,0,18,1
120.78.91.119,58,0,18,1
220.132.82.63,58,0,18,1
34.168.30.61,58,0,18,1
15.206.228.247,58,0,18,1
3.223.45.29,58,0,18,1
154.213.184.216,58,0,18,1
3.135.46.114,58,0,18,1
18.65.47.196,58,0,18,1
77.223.132.32,58,0,18,1
3.22.6.115,58,0,18,1
104.77.252.29,58,0,18,1
164.90.254.6,58,0,18,1
109.98.50.226,58,0,18,1
204.106.246.150,58,0,18,1
121.146.198.166,58,0,18,1
81.12.5.121,58,0,18,1
23.0.61.208,58,0,18,1
138.26.162.45,58,0,18,1
23.52.216.225,58,0,18,1
52.199.166.236,58,0,18,1
52.29.140.55,58,0,18,1
104.116.21.198,58,0,18,1
196.33.103.150,58,0,18,1
54.146.171.244,58,0,18,1
70.74.50.201,58,0,18,1
23.12.183.152,58,0,18,1
143.43.198.41,58,0,18,1
191.96.255.149,58,0,18,1
18.165.120.221,58,0,18,1
196.200.87.127,58,0,18,1
198.56.223.214,58,0,18,1
195.7.236.164,58,0,18,1
23.204.151.13,58,0,18,1
104.25.122.137,58,0,18,1
212.227.56.117,58,0,18,1
211.75.76.148,58,0,18,1
54.165.245.203,58,0,18,1
89.161.242.231,58,0,18,1
18.161.65.201,58,0,18,1
195.77.59.28,58,0,18,1
13.249.53.115,58,0,18,1
67.162.67.192,58,0,18,1
23.220.95.177,58,0,18,1
185.245.98.42,58,0,18,1
134.220.28.248,58,0,18,1
5.250.144.100,58,0,18,1
184.27.100.156,58,0,18,1
106.253.192.8,58,0,18,1
3.101.80.206,58,0,18,1
212.48.89.10,58,0,18,1
23.41.94.53,58,0,18,1
184.154.116.50,58,0,18,1
23.199.199.227,58,0,18,1
59.115.92.217,58,0,18,1
154.119.36.87,58,0,18,1
112.217.208.14,58,0,18,1
156.247.19.172,58,0,18,1
150.60.137.210,58,0,18,1
103.29.3.102,58,0,18,1
104.17.245.148,58,0,18,1
104.107.145.13,58,0,18,1
201.48.248.137,58,0,18,1
5.181.161.14,58,0,18,1
189.188.125.183,58,0,18,1
140.227.106.25,58,0,18,1
184.86.188.50,58,0,18,1
184.31.96.64,58,0,18,1
18.135.100.194,58,0,18,1
201.219.76.182,58,0,18,1
65.8.226.76,58,0,18,1
173.208.225.20,58,0,18,1
49.167.210.86,58,0,18,1
54.167.6.226,58,0,18,1
94.103.124.35,58,0,18,1
195.201.132.66,58,0,18,1
142.92.169.12,58,0,18,1
104.116.92.104,58,0,18,1
68.70.171.161,58,0,18,1
43.154.85.24,58,0,18,1
91.206.14.182,58,0,18,1
188.119.180.215,58,0,18,1
3.126.187.48,58,0,18,1
156.227.241.81,58,0,18,1
69.119.152.37,58,0,18,1
117.193.36.72,58,0,18,1
38.26.209.135,58,0,18,1
35.186.208.42,58,0,18,1
178.63.41.133,58,0,18,1
128.201.159.4,58,0,18,1
67.53.10.58,58,0,18,1
104.93.54.167,58,0,18,1
64.225.73.147,58,0,18,1
175.29.144.114,58,0,18,1
2.17.231.90,58,0,18,1
54.162.255.205,58,0,18,1
104.80.31.175,58,0,18,1
104.43.203.162,58,0,18,1
45.195.26.78,58,0,18,1
154.222.234.177,58,0,18,1
220.73.119.226,58,0,18,1
194.85.131.198,58,0,18,1
23.7.42.66,58,0,18,1
172.104.16.186,58,0,18,1
172.120.135.104,58,0,18,1
3.70.110.146,58,0,18,1
34.132.241.126,58,0,18,1
38.7.66.149,58,0,18,1
144.91.111.7,58,0,18,1
197.50.155.78,58,0,18,1
104.75.234.254,58,0,18,1
194.224.200.165,58,0,18,1
54.176.157.211,58,0,18,1
84.42.47.85,58,0,18,1
3.23.4.117,58,0,18,1
178.20.210.246,58,0,18,1
184.27.227.129,58,0,18,1
156.254.131.115,58,0,18,1
151.12.219.229,58,0,18,1
39.106.183.166,58,0,18,1
151.12.219.229,58,0,18,1
52.188.140.88,58,0,18,1
107.178.141.10,58,0,18,1
95.217.25.158,58,0,18,1
107.189.5.141,58,0,18,1
129.226.93.56,58,0,18,1
78.11.177.56,58,0,18,1
23.217.19.86,58,0,18,1
138.97.78.13,58,0,18,1
216.253.36.113,58,0,18,1
188.112.133.0,58,0,18,1
184.87.46.234,58,0,18,1
54.211.126.118,58,0,18,1
27.180.46.223,95,41,20,1
5.101.158.13,58,0,18,1
18.64.196.180,58,0,18,1
202.190.125.44,58,0,18,1
66.206.10.148,58,0,18,1
36.91.221.8,58,0,18,1
104.94.157.128,58,0,18,1
23.192.211.121,58,0,18,1
50.87.18.59,58,0,18,1
51.15.157.210,58,0,18,1
83.65.105.133,58,0,18,1
206.237.139.74,58,0,18,1
23.6.215.13,58,0,18,1
40.118.242.105,58,0,18,1
46.128.167.82,58,0,18,1
3.233.186.58,58,0,18,1
54.175.193.24,58,0,18,1
38.59.31.110,58,0,18,1
130.211.19.201,58,0,18,1
54.159.127.48,58,0,18,1
46.36.77.59,58,0,18,1
23.48.105.215,58,0,18,1
54.255.162.57,58,0,18,1
13.33.28.81,58,0,18,1
23.39.6.66,58,0,18,1
89.161.161.226,58,0,18,1
190.200.142.195,58,0,18,1
4.156.178.75,58,0,18,1
181.212.13.25,58,0,18,1
3.212.211.93,58,0,18,1
72.52.138.169,58,0,18,1
160.121.231.126,58,0,18,1
157.230.255.5,58,0,18,1
195.2.69.130,58,0,18,1
189.231.55.178,58,0,18,1
179.96.211.78,58,0,18,1
146.70.117.162,58,0,18,1
115.244.236.166,58,0,18,1
23.48.72.72,58,0,18,1
3.82.170.22,58,0,18,1
146.59.0.111,58,0,18,1
84.201.185.80,58,0,18,1
94.177.97.184,58,0,18,1
104.82.237.37,58,0,18,1
65.8.105.158,58,0,18,1
54.231.230.147,58,0,18,1
173.199.144.107,58,0,18,1
152.92.169.86,58,0,18,1
23.205.39.100,58,0,18,1
23.58.54.131,58,0,18,1
194.93.60.101,58,0,18,1
116.80.115.149,58,0,18,1
104.93.54.171,58,0,18,1
163.28.238.38,58,0,18,1
23.4.68.105,58,0,18,1
101.200.85.194,58,0,18,1
3.225.242.89,58,0,18,1
5.134.124.77,58,0,18,1
37.120.178.134,58,0,18,1
160.121.35.124,58,0,18,1
18.204.46.51,58,0,18,1
15.164.130.48,58,0,18,1
140.115.25.68,58,0,18,1
192.99.7.89,58,0,18,1
98.142.214.21,58,0,18,1
54.88.51.0,58,0,18,1
201.137.108.80,58,0,18,1
187.216.37.69,58,0,18,1
8.240.182.254,58,0,18,1
23.67.171.53,58,0,18,1
143.244.130.142,58,0,18,1
185.18.82.96,58,0,18,1
165.231.22.50,58,0,18,1
38.39.122.74,58,0,18,1
23.222.91.98,58,0,18,1
85.239.249.86,58,0,18,1
216.127.161.187,58,0,18,1
41.227.43.209,58,0,18,1
92.252.61.88,58,0,18,1
82.223.123.196,58,0,18,1
112.148.103.101,58,0,18,1
104.131.161.19,58,0,18,1
186.14.85.175,58,0,18,1
135.148.121.232,58,0,18,1
156.244.106.4,58,0,18,1
20.24.127.231,58,0,18,1
128.171.162.171,58,0,18,1
51.83.73.183,58,0,18,1
2.17.22.152,58,0,18,1
123.31.40.15,58,0,18,1
212.30.48.200,58,0,18,1
34.134.8.24,58,0,18,1
160.121.54.129,58,0,18,1
52.29.28.50,58,0,18,1
13.32.70.61,58,0,18,1
203.64.39.65,58,0,18,1
154.204.252.158,58,0,18,1
207.60.24.130,58,0,18,1
62.240.176.192,58,0,18,1
65.9.52.56,58,0,18,1
23.249.172.164,58,0,18,1
23.211.182.186,58,0,18,1
154.27.131.228,58,0,18,1
104.25.174.13,58,0,18,1
174.129.128.181,58,0,18,1
154.198.227.148,58,0,18,1
200.219.254.165,58,0,18,1
104.116.21.198,58,0,18,1
50.19.96.61,58,0,18,1
152.30.109.190,58,0,18,1
178.153.193.174,58,0,18,1
18.64.166.143,58,0,18,1
18.160.25.244,58,0,18,1
104.245.234.48,58,0,18,1
103.20.4.14,58,0,18,1
50.224.206.113,58,0,18,1
171.241.4.100,58,0,18,1
104.16.140.228,58,0,18,1
54.84.49.250,58,0,18,1
92.53.243.29,58,0,18,1
23.10.153.122,58,0,18,1
34.74.114.229,58,0,18,1
137.164.12.118,58,0,18,1
158.199.187.67,58,0,18,1
23.27.74.100,58,0,18,1
20.28.144.134,58,0,18,1
13.235.255.159,58,0,18,1
3.216.62.196,58,0,18,1
18.244.102.73,58,0,18,1
173.232.38.89,58,0,18,1
100.21.93.67,58,0,18,1
54.168.195.210,58,0,18,1
59.97.203.247,58,0,18,1
38.55.56.96,58,0,18,1
54.36.122.135,58,0,18,1
104.100.211.80,58,0,18,1
85.246.28.241,58,0,18,1
20.70.249.84,58,0,18,1
84.6.145.185,58,0,18,1
13.234.164.49,58,0,18,1
52.19.199.113,58,0,18,1
85.13.155.177,58,0,18,1
211.9.46.133,58,0,18,1
34.204.224.191,58,0,18,1
196.196.2.95,58,0,18,1
97.65.249.247,58,0,18,1
77.235.151.0,58,0,18,1
35.190.199.52,58,0,18,1
18.215.171.100,58,0,18,1
98.251.142.136,58,0,18,1
94.90.110.164,58,0,18,1
163.181.88.174,58,0,18,1
13.224.55.47,58,0,18,1
185.173.32.12,58,0,18,1
185.173.105.21,58,0,18,1
159.203.177.13,58,0,18,1
169.63.59.214,58,0,18,1
107.158.108.9,58,0,18,1
18.173.221.196,58,0,18,1
18.172.86.68,58,0,18,1
219.84.215.144,58,0,18,1
96.73.13.140,58,0,18,1
107.154.120.100,58,0,18,1
156.254.131.115,58,0,18,1
217.23.165.2,58,0,18,1
46.39.21.136,58,0,18,1
167.179.114.178,58,0,18,1
13.225.179.8,58,0,18,1
51.77.119.37,58,0,18,1
50.73.214.21,58,0,18,1
187.254.218.214,95,41,20,1
51.75.75.162,58,0,18,1
108.175.118.82,58,0,18,1
35.81.182.17,58,0,18,1
104.66.153.113,58,0,18,1
181.23.236.98,58,0,18,1
123.254.93.11,58,0,18,1
157.205.180.16,58,0,18,1
13.32.134.216,58,0,18,1
64.255.227.183,58,0,18,1
116.68.53.208,98,44,24,0
45.207.121.121,58,0,18,1
189.11.208.50,58,0,18,1
192.200.217.174,58,0,18,1
18.117.193.157,58,0,18,1
98.98.155.12,58,0,18,1
166.77.16.112,58,0,18,1
3.141.232.155,58,0,18,1
137.132.78.71,58,0,18,1
117.197.171.93,58,0,18,1
78.45.133.244,58,0,18,1
142.93.116.209,58,0,18,1
162.214.27.192,58,0,18,1
216.155.135.164,58,0,18,1
163.181.88.174,58,0,18,1
50.87.217.37,58,0,18,1
18.217.188.43,58,0,18,1
188.117.99.123,58,0,18,1
23.199.44.215,58,0,18,1
35.214.228.149,58,0,18,1
72.3.14.161,58,0,18,1
202.234.156.142,58,0,18,1
108.156.252.67,58,0,18,1
23.54.49.80,58,0,18,1
63.142.252.251,58,0,18,1
34.117.149.234,58,0,18,1
23.79.126.208,58,0,18,1
3.87.242.28,58,0,18,1
44.205.151.146,58,0,18,1
34.207.145.199,58,0,18,1
104.122.195.140,58,0,18,1
51.77.70.46,58,0,18,1
93.23.143.97,58,0,18,1
40.68.215.187,58,0,18,1
67.158.151.69,58,0,18,1
133.18.227.173,58,0,18,1
45.137.181.11,58,0,18,1
3.212.77.255,58,0,18,1
91.221.99.134,58,0,18,1
44.209.26.169,58,0,18,1
192.136.184.215,89,35,20,1
115.73.148.143,58,0,18,1
151.101.11.69,58,0,18,1
160.124.58.115,58,0,18,1
49.207.182.234,58,0,18,1
89.120.63.234,58,0,18,1
104.216.15.249,58,0,18,1
104.24.178.148,58,0,18,1
37.1.86.2,58,0,18,1
18.64.75.160,58,0,18,1
35.178.91.134,58,0,18,1
184.30.183.97,58,0,18,1
96.96.84.138,58,0,18,1
95.179.196.252,58,0,18,1
18.161.60.159,58,0,18,1
105.157.80.176,58,0,18,1
13.35.67.57,58,0,18,1
190.20.131.184,58,0,18,1
163.28.234.55,58,0,18,1
184.25.88.158,58,0,18,1
155.166.22.151,58,0,18,1
94.130.229.32,58,0,18,1
103.61.2.162,58,0,18,1
119.29.242.248,173,119,24,0
201.219.111.254,58,0,18,1
172.253.28.58,58,0,18,1
200.234.142.133,58,0,18,1
163.159.6.123,58,0,18,1
146.56.106.182,58,0,18,1
80.83.186.40,58,0,18,1
172.96.229.236,58,0,18,1
35.153.65.52,58,0,18,1
198.203.213.140,58,0,18,1
169.62.39.227,58,0,18,1
199.232.193.16,58,0,18,1
44.233.244.76,58,0,18,1
216.244.107.11,58,0,18,1
172.245.101.118,58,0,18,1
213.145.152.34,58,0,18,1
147.47.52.183,58,0,18,1
93.157.254.206,58,0,18,1
107.187.131.69,58,0,18,1
209.177.74.45,58,0,18,1
162.214.245.124,58,0,18,1
67.1.133.241,58,0,18,1
104.16.151.228,58,0,18,1
185.147.100.51,58,0,18,1
112.184.236.7,58,0,18,1
147.47.222.227,58,0,18,1
216.41.71.251,58,0,18,1
46.44.24.75,58,0,18,1
216.12.169.178,58,0,18,1
89.216.54.0,58,0,18,1
103.17.118.73,58,0,18,1
200.7.217.220,58,0,18,1
213.19.177.196,58,0,18,1
184.50.181.171,58,0,18,1
