saddr,len,payloadlen,flags,validation_type
96.244.86.4,58,0,18,1
18.210.138.245,58,0,18,1
18.233.52.30,58,0,18,1
104.37.183.148,58,0,18,1
185.176.89.153,58,0,18,1
137.74.37.76,58,0,18,1
143.199.211.33,58,0,18,1
186.101.111.7,58,0,18,1
159.148.42.205,58,0,18,1
104.164.117.245,58,0,18,1
95.101.178.43,58,0,18,1
54.166.99.86,58,0,18,1
217.6.116.170,58,0,18,1
137.83.5.169,58,0,18,1
2.207.183.72,58,0,18,1
54.83.180.92,58,0,18,1
212.17.209.251,58,0,18,1
63.33.196.218,58,0,18,1
35.216.55.86,58,0,18,1
107.164.28.101,58,0,18,1
150.60.255.204,58,0,18,1
18.136.79.46,58,0,18,1
139.180.60.76,58,0,18,1
3.227.78.63,58,0,18,1
76.12.139.96,58,0,18,1
65.8.242.174,58,0,18,1
80.96.42.91,58,0,18,1
104.100.120.203,58,0,18,1
104.122.83.176,58,0,18,1
23.206.128.123,58,0,18,1
13.35.96.21,58,0,18,1
122.8.111.178,58,0,18,1
18.173.230.26,58,0,18,1
62.153.127.177,58,0,18,1
45.207.191.125,58,0,18,1
147.161.137.20,58,0,18,1
8.218.59.184,58,0,18,1
109.206.140.149,58,0,18,1
104.68.91.52,58,0,18,1
23.72.51.67,58,0,18,1
35.75.73.61,58,0,18,1
178.130.44.169,58,0,18,1
202.245.118.167,58,0,18,1
135.19.242.216,58,0,18,1
18.160.158.56,58,0,18,1
186.7.134.138,58,0,18,1
148.0.255.232,58,0,18,1
34.206.182.19,58,0,18,1
159.100.251.116,58,0,18,1
23.12.62.183,58,0,18,1
114.55.223.16,807,753,24,0
220.135.165.52,58,0,18,1
194.51.172.33,58,0,18,1
192.227.149.3,58,0,18,1
104.25.76.214,58,0,18,1
103.127.80.143,58,0,18,1
51.210.0.103,58,0,18,1
52.89.20.247,58,0,18,1
192.185.188.239,58,0,18,1
66.147.245.81,58,0,18,1
38.40.185.100,58,0,18,1
64.64.254.38,58,0,18,1
153.120.52.161,58,0,18,1
190.166.15.15,58,0,18,1
160.121.75.209,58,0,18,1
67.231.148.196,96,42,20,1
212.201.116.160,58,0,18,1
91.121.83.29,58,0,18,1
104.106.244.137,58,0,18,1
82.64.166.211,58,0,18,1
42.114.77.250,58,0,18,1
46.187.95.119,58,0,18,1
193.248.61.73,58,0,18,1
216.176.131.54,58,0,18,1
49.158.25.2,58,0,18,1
62.205.205.27,58,0,18,1
178.128.225.224,58,0,18,1
155.94.181.124,58,0,18,1
104.73.52.128,58,0,18,1
24.51.97.111,58,0,18,1
218.4.176.51,58,0,18,1
120.25.211.115,807,753,24,0
120.25.211.115,58,0,18,1
186.96.194.142,58,0,18,1
34.89.88.191,58,0,18,1
195.201.115.175,58,0,18,1
23.214.37.22,58,0,18,1
184.86.0.16,58,0,18,1
13.230.96.63,58,0,18,1
103.7.128.4,58,0,18,1
164.92.67.197,58,0,18,1
103.7.128.4,58,0,18,1
13.236.122.112,58,0,18,1
212.102.45.180,58,0,18,1
154.207.101.119,58,0,18,1
71.127.151.98,58,0,18,1
38.26.136.155,58,0,18,1
152.156.224.93,98,44,20,1
202.73.230.34,58,0,18,1
2.21.164.45,58,0,18,1
54.95.30.30,58,0,18,1
18.230.36.106,58,0,18,1
23.6.207.226,58,0,18,1
5.196.199.84,58,0,18,1
154.213.133.85,58,0,18,1
23.57.193.140,58,0,18,1
13.225.43.63,58,0,18,1
35.175.94.188,58,0,18,1
98.129.248.25,58,0,18,1
23.221.136.170,58,0,18,1
153.126.172.180,58,0,18,1
